"No","製品コード","型式","品名","現在庫数(総数)","引当済数","未引当数","不足数","倉庫コード(商品マスタ)","倉庫名","現在庫数"
"1","LRKT623   ","VPC-1600-572313B                                  ","FAコンピュータ　VPC-1600シリーズ                  ","4","4","8","8","101       ","製品倉庫　小牧      ","4"
"2","RBFBHY1   ","VPC-1600 BSE1BCCH1300W0S0                         ","VPC-1600 BSE1BCCH1300W0S0                         ","0","0","2","2","101       ","製品倉庫　小牧      ","0"
"3","RBFFZB1   ","VPC-1600 BSE1CCCH1H00W000                         ","VPC-1600                                          ","0","0","1","1","101       ","製品倉庫　小牧      ","0"
"4","RBFGF31   ","VPC-1600 BSE1DC001400S000                         ","VPC-1600                                          ","0","0","1","1","101       ","製品倉庫　小牧      ","0"
"5","RBFGRV1   ","VPC-1600 BSC2CCCH1H00W003                         ","VPC-1600　シリーズBTO                             ","0","0","1","1","101       ","製品倉庫　小牧      ","0"
"6","RBFGXM1   ","VPC-1600 BSE1CCC01H00S100                         ","セットアップVPC-1600                              ","0","0","1","1","101       ","製品倉庫　小牧      ","0"
"7","RBFH101   ","VPC-1600 BSE1BCCH1400W002                         ","VPC-1600                                          ","0","0","1","1","101       ","製品倉庫　小牧      ","0"
"8","RBFH1Z1   ","VPC-1600 BSE1BCCH1H00W000                         ","VPC-1600-BSE1BCCH1H00W000                         ","0","0","1","1","101       ","製品倉庫　小牧      ","0"
"9","RBFH2B1   ","VPC-1600 BSE1CCCH1H00W000                         ","VPC-1600                                          ","0","0","1","1","101       ","製品倉庫　小牧      ","0"
"10","RBFHBF1   ","VPC-1600 BSC2BC001H00W000                         ","VPC-1600                                          ","0","0","4","4","101       ","製品倉庫　小牧      ","0"
"11","RBFHHZ1   ","VPC-1600 BSE1BCCR1H00W003                         ","セットアップVPC                                   ","0","0","2","2","101       ","製品倉庫　小牧      ","0"
"12","RBFHU81   ","VPC-1600 BSC2BC001H00W000                         ","VPC-1600                                          ","0","0","1","1","101       ","製品倉庫　小牧      ","0"
"13","RBFHVM1   ","VPC-1600 BSC2BC001E00W000                         ","VPC-1600                                          ","0","0","1","1","101       ","製品倉庫　小牧      ","0"
"14","RBFHYL1   ","VPC-1600 BSE1BCCH1H00W000                         ","VPC-1600                                          ","0","0","1","1","101       ","製品倉庫　小牧      ","0"
"15","RBFJ0U1   ","VPC-1600 BSE1CC001H11W000                         ","FAPC VPC-1600                                     ","0","0","10","10","101       ","製品倉庫　小牧      ","0"
"16","RBFJ731   ","VPC-1600 BSE1BCCR1H11W003                         ","VPC-1600 シリーズ                                 ","0","0","3","3","101       ","製品倉庫　小牧      ","0"
"17","RBFJN21   ","VPC-1600 BSE1BCCH1H00W000                         ","VPC-1600　BTOモデル                               ","0","0","1","1","101       ","製品倉庫　小牧      ","0"
"18","RBFJN31   ","VPC-1600 BSC2B0001000W000                         ","VPC-1600                                          ","0","0","2","2","101       ","製品倉庫　小牧      ","0"
"19","RBFJPA1   ","VPC-1600 BSE1BCCH1400W000                         ","VPC-1600                                          ","0","0","1","1","101       ","製品倉庫　小牧      ","0"
"20","RBFJSR1   ","VPC-1600 BSE1BCCR1311W000                         ","FAPC　VPC-1600シリーズ                            ","0","0","5","5","101       ","製品倉庫　小牧      ","0"
"21","RBFJYG1   ","VPC-1600 BSC2BC001300W100                         ","セットアップVPC-1600                              ","0","0","1","1","101       ","製品倉庫　小牧      ","0"
