製品コード	LRAC322
型式	EPD-96
品名	圧着用中継端子台（Ｍ３ネジ、９６点）
後継機種	
備考	 65Wx240Dx40H 426g 0->3(19/10/01-) 
現在在庫数	出荷予定数	入庫予定数	引当済数	予定引当数	仮引当済数	予定仮引数	未引当数	移動指示数	通販在庫数	その他在庫数	発注ＬＴ
999	277	0	50	0	220	0	7	31	20	0	12
出荷停止	停止日	解除日	再開予定日	受注停止	販売完了	手配終了	修理受付	在庫ランク	価格区分	ｶﾀﾛｸﾞ品対象	通販対象
出荷				受注	販売	手配	ＯＫ	APR	通常	対象	対象
入出庫日	出庫数	引当数	状態	入庫数	推数定	登録日	製番	得意先	倉庫	客先注文番号
20190729	10	10	*	0	989	20190712	RAFHEQ03	立花エレテック  九州	製品倉庫　小牧	G0WJ6
20190729	1	1	*	0	988	20190726	RAFK0602	システナ	製品倉庫　小牧	0798478101
20190730	1	1		0	987	20190725	RAFJRC04	アイ・シー・エス購買	製品倉庫　小牧	E4500-064185Y004
20190730	1	1		0	986	20190726	RAFJYL04	萩原テクノ  計測ＦＡ	製品倉庫　小牧	Q10K00335700100
20190731	3	3		0	983	20190712	RAFHGA01	スズデン	製品倉庫　小牧	24744880
20190731	1	1		0	982	20190725	RAFJSP01	ダイワボウ　業務サポートグループ	製品倉庫　小牧	11823513-02
20190801	1	1		0	981	20190705	RAFGL602	日本電計　山梨	製品倉庫　小牧	YN0948-129804-07
20190801	2	2		0	979	20190724	RAFJMX02	日本電計　長野	製品倉庫　小牧	NE1123-114755-02
20190809	1	0		0	978	20190926	RAFK2T01	ダイワボウ　業務サポートグループ	製品倉庫　小牧	11980082-01
20190822	2	2		0	976	20190617	RAFEL901	ダイワボウ　業務サポートグループ	製品倉庫　小牧	11663210-02
20190823	3	0		0	973	20190726	RAFK0W01	ダイワボウ　業務サポートグループ	製品倉庫　小牧	11830355-05
20190828	2	2		0	971	20190725	RAFJTB04	ダイワボウ　業務サポートグループ	製品倉庫　小牧	11815066-05
20190830	60	60	ﾖ M	0	911	20190726	19070QJ2-01-07	株式会社　リコー	製品倉庫　小牧	
20190831	1	0		0	910	20190910	RSFK2401	ダイフク	製品倉庫　小牧	
20190902	1	1		0	909	20190701	RAFG3403	萩原テクノ  システムソリューション	製品倉庫　小牧	L40K00942400100
20190902	2	2		0	907	20190708	RAFGV605	日本電計　長野	製品倉庫　小牧	NE1123-114695-25
20190902	2	2		0	905	20190719	RAFJ5603	協立電機  袋井	製品倉庫　小牧	D14J7G104
20190903	2	2		0	903	20190718	RAFJ0B01	東亜無線電機　名古屋	製品倉庫　小牧	RA8A-848A
20190905	10	10		0	893	20190306	RAF47R02	椿本興業　名古屋	製品倉庫　小牧	5-1D2826
20190905	4	4		0	889	20190725	RAFJT105	萩原テクノ  プロダクト	製品倉庫　小牧	M10K01367300600
20190906	1	1		0	888	20190717	RAFHW601	萩原テクノ  システムソリューション	製品倉庫　小牧	L40K01058000100
20190912	3	3		0	885	20190627	RAFFPZ03	コムベックス  太田中央	製品倉庫　小牧	GP69160409
20190919	1	1		0	884	20190722	RAFJBN02	不二越　調達部	製品倉庫　小牧	ZKS-QBL
20190930	80	80	ﾖ M	0	804	20190726	19070QJ2-01-08	株式会社　リコー	製品倉庫　小牧	
20191015	1	0		0	803	20191016	RAFK3C01	日産クリエイティブサービス九州	製品倉庫　小牧	test
20191016	1	0		0	802	20191017	RAFK3F01	ヌマタ 東京	製品倉庫　小牧	test
20191031	80	80	ﾖ M	0	722	20190726	19070QJ2-01-09	株式会社　リコー	製品倉庫　小牧	
