製品コード	LRAC322
型式	EPD-96
品名	圧着用中継端子台（Ｍ３ネジ、９６点）
現在在庫	999
入出庫日	出庫数	処理区分	入庫数	製番	得意先	倉庫	客先注文番号
20190726	1	通常出荷	0	RAFJUW01	システナ	製品倉庫　小牧	0798423801
20190726	1	通常出荷	0	RAFJT001	ダイワボウ　業務サポートグループ	製品倉庫　小牧	11823036-03
20190725	1	通常出荷	0	RAFJRG01	因幡電機産業　大阪	製品倉庫　小牧	413-451-13
20190725	1	通常出荷	0	RAFJ2N01	ダイワボウ　業務サポートグループ	製品倉庫　小牧	11796634-06
20190724	1	通常出荷	0	RAFJGR03	カナデン　関西支社	製品倉庫　小牧	97B012000
20190724	7	通常出荷	0	RAFGJH04	協立電機  浜松	製品倉庫　小牧	B24J7W028
20190723	10	通常出荷	0	RAFJDL01	スズデン	製品倉庫　小牧	88Z19153
20190723	1	通常出荷	0	RAFJB503	宝永電機  四国	製品倉庫　小牧	9T124622-01T5
20190722	1	通常出荷	0	RAFJAF01	大塚商会　商品部	製品倉庫　小牧	300028309
20190722	4	支給	0	MDP006268		製品倉庫　小牧	KAIGA / Y0043403
20190722	3	通常出荷	0	RAFJ8U01	スズデン	製品倉庫　小牧	88Z15489
20190722	1	通常出荷	0	RAFHP301	ダイワボウ　業務サポートグループ	製品倉庫　小牧	11777591-03
20190719	1	通常出荷	0	RAFB2501	高木商会　京都営業	製品倉庫　小牧	OF14744-M00510YM
20190719	2	通常出荷	0	RAFHT501	スズデン	製品倉庫　小牧	24745315
20190719	20	通常出荷	0	RAFGK907	ミスミ  VONA	製品倉庫　小牧	53-364905-8329
20190718	6	通常出荷	0	RAFGKJ02	シミズシンテック　金沢	製品倉庫　小牧	190400000211-01 F67
20190718	5	通常出荷	0	RAFG8Z01	ダイワボウ　業務サポートグループ	製品倉庫　小牧	11725318-03
20190717	4	通常出荷	0	RAF7C0E	ダイハツ九州（大分）	製品倉庫　小牧	5000048215
20190717	-1	返品	0	RAFFHV04		製品倉庫　小牧	LA14045-M00510YM
20190717	0	入荷	500	LRAC322N3		製品倉庫　小牧	S04WZ5011
20190717	2	通常出荷	0	RAFHK301	ダイワボウ　業務サポートグループ	製品倉庫　小牧	11770256-01
20190716	3	通常出荷	0	RAFHMJ01	スズデン	製品倉庫　小牧	88Z08102
20190716	1	通常出荷	0	RAFG3302	萩原テクノ  システムソリューション	製品倉庫　小牧	L40K00938500100
20190716	1	通常出荷	0	RAFG3301	萩原テクノ  システムソリューション	製品倉庫　小牧	L40K00937500100
20190712	1	通常出荷	0	RAFHHD01	スズデン	製品倉庫　小牧	24745108
20190712	4	通常出荷	0	RAFHG901	スズデン	製品倉庫　小牧	24744845
20190712	2	通常出荷	0	RAFGTV01	瑞穂	製品倉庫　小牧	6138
